Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Isotope Distribution,Maximum Abundance,Minimum CV%,20190805_Blank_Neg_06,20190805_Blank_Neg_06,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
11.78_291.0003m/z,,291.000342,1,11.78413333,0.115616667,0,100,2044.096165,---,2044.096165,2044.096165,,,,,,,,,,
11.87_611.0927m/z,,611.0926582,1,11.86648333,0.39595,0,100,4109.618793,---,4109.618793,4109.618793,,,,,,,,,,
12.06_625.3853m/z,,625.3852911,1,12.06446667,0.709216667,0,100 - 50.9 - 22.9,35470.5626,---,35470.5626,35470.5626,,,,,,,,,,
12.08_213.0169m/z,,213.0168942,1,12.08093333,0.098816667,0,100,1036.230326,---,1036.230326,1036.230326,,,,,,,,,,
12.16_146.8669m/z,,146.8669025,1,12.16328333,0.08235,0,100,432.2147808,---,432.2147808,432.2147808,,,,,,,,,,
12.18_272.7969m/z,,272.7969296,1,12.17976667,1.055483333,0,100,11713.1108,---,11713.1108,11713.1108,,,,,,,,,,
12.21_733.4038m/z,,733.4037928,1,12.2127,0.280333333,0,100,2771.607426,---,2771.607426,2771.607426,,,,,,,,,,
12.26_561.4228m/z,,561.4228045,1,12.26245,0.362683333,0,100,3529.763317,---,3529.763317,3529.763317,,,,,,,,,,
12.28_128.8930m/z,,128.8930231,1,12.27891667,0.34655,0,100,1723.358494,---,1723.358494,1723.358494,,,,,,,,,,
12.30_130.8900m/z,,130.8900266,1,12.29538333,0.346533333,0,100,1699.631603,---,1699.631603,1699.631603,,,,,,,,,,
12.31_209.9501m/z,,209.9501433,1,12.31185,0.098816667,0,100 - 8.62 - 11.8,6006.108491,---,6006.108491,6006.108491,,,,,,,,,,
12.31_796.4231m/z,,796.4231131,1,12.31185,0.082366667,0,100,1456.891704,---,1456.891704,1456.891704,,,,,,,,,,
12.33_626.5534m/z,,626.5534245,1,12.32833333,0.165033333,0,100,1803.4361,---,1803.4361,1803.4361,,,,,,,,,,
12.36_446.6733m/z,,446.6733342,1,12.36126667,0.527783333,0,100,4750.128292,---,4750.128292,4750.128292,,,,,,,,,,
12.36_333.0074m/z,,333.007368,1,12.36126667,0.049416667,0,100,602.9461723,---,602.9461723,602.9461723,,,,,,,,,,
12.36_299.2522m/z,,299.2522172,1,12.36126667,0.098816667,0,100,920.5737686,---,920.5737686,920.5737686,,,,,,,,,,
12.38_159.9030m/z,,159.9030283,1,12.37773333,0.4289,0,100,2875.982755,---,2875.982755,2875.982755,,,,,,,,,,
12.38_990.5493m/z,,990.5493139,1,12.37773333,0.098833333,0,100,1765.520514,---,1765.520514,1765.520514,,,,,,,,,,
12.43_269.2482m/z,,269.2481782,1,12.42715,0.280333333,0,100 - 15.8,10271.91832,---,10271.91832,10271.91832,,,,,,,,,,
12.44_560.5933m/z,,560.5933068,1,12.44361667,0.7755,0,100,12711.03291,---,12711.03291,12711.03291,,,,,,,,,,
12.46_796.4232m/z,,796.4232217,1,12.46008333,0.16505,0,100,2049.096682,---,2049.096682,2049.096682,,,,,,,,,,
12.48_252.9416m/z,,252.9416489,1,12.47656667,0.04975,0,100,915.9273313,---,915.9273313,915.9273313,,,,,,,,,,
12.51_897.6041m/z,,897.6040846,1,12.50983333,0.923733333,0,100 - 81.8 - 45.9 - 22.5 - 23.4 - 17.5 - 15.9,130757.3285,---,130757.3285,130757.3285,,,,,,,,,,
12.51_302.9419m/z,,302.9419419,1,12.50983333,0.049733333,0,100 - 19.9,1577.061869,---,1577.061869,1577.061869,,,,,,,,,,
12.58_374.9921m/z,,374.9920789,1,12.57571667,0.0494,0,100,911.6269802,---,911.6269802,911.6269802,,,,,,,,,,
12.64_374.9168m/z,,374.916808,1,12.64165,0.065883333,0,100,2162.103338,---,2162.103338,2162.103338,,,,,,,,,,
12.69_333.0073m/z,,333.0073191,1,12.69106667,0.065883333,0,100 - 25.8,1308.446655,---,1308.446655,1308.446655,,,,,,,,,,
12.69_218.8751m/z,,218.8751376,1,12.69106667,0.065883333,0,100,390.6043372,---,390.6043372,390.6043372,,,,,,,,,,
12.72_213.1812m/z,,213.1812037,1,12.724,0.198033333,0,100,1468.688749,---,1468.688749,1468.688749,,,,,,,,,,
12.77_164.9658m/z,,164.9657874,1,12.77375,0.049416667,0,100,519.5791287,---,519.5791287,519.5791287,,,,,,,,,,
12.79_251.0083m/z,,251.008271,1,12.79021667,0.049416667,0,100 - 27.9,751.7909241,---,751.7909241,751.7909241,,,,,,,,,,
12.82_248.8385m/z,,248.8384577,1,12.82316667,0.049416667,0,100,445.6385117,---,445.6385117,445.6385117,,,,,,,,,,
12.86_312.9256m/z,,312.9256017,1,12.8561,0.098833333,0,100 - 21.9,2459.902385,---,2459.902385,2459.902385,,,,,,,,,,
12.87_300.9733m/z,,300.9733249,1,12.87256667,0.065883333,0,100 - 39.1,1967.310155,---,1967.310155,1967.310155,,,,,,,,,,
12.87_236.9903m/z,,236.9902542,1,12.87256667,0.098816667,0,100,1483.979704,---,1483.979704,1483.979704,,,,,,,,,,
12.92_251.0095m/z,,251.0095234,1,12.92198333,0.082683333,0,100,689.8732224,---,689.8732224,689.8732224,,,,,,,,,,
12.94_336.2122m/z,,336.2122018,1,12.93845,6.251,0,73.7 - 100 - 5.21,340692.8167,---,340692.8167,340692.8167,,,,,,,,,,
12.94_218.8750m/z,,218.8749813,1,12.93845,0.21445,0,100,1252.605683,---,1252.605683,1252.605683,,,,,,,,,,
12.97_174.9315m/z,,174.9314629,1,12.9714,0.09915,0,100,514.2576013,---,514.2576013,514.2576013,,,,,,,,,,
13.04_279.1654m/z,,279.1653963,1,13.03761667,0.049416667,0,100,505.6343002,---,505.6343002,505.6343002,,,,,,,,,,
13.12_279.1666m/z,,279.1666487,1,13.11996667,0.098833333,0,100,1004.880777,---,1004.880777,1004.880777,,,,,,,,,,
13.14_271.0111m/z,,271.0110746,1,13.13643333,0.0494,0,100,516.7652092,---,516.7652092,516.7652092,,,,,,,,,,
13.29_351.2540m/z,,351.2540096,1,13.285,0.165033333,0,100,1228.295868,---,1228.295868,1228.295868,,,,,,,,,,
13.32_272.7959m/z,,272.79592,1,13.31795,0.08235,0,100,520.8947228,---,520.8947228,520.8947228,,,,,,,,,,
13.33_254.9979m/z,,254.9978653,1,13.33441667,0.065883333,0,100,655.3074855,---,655.3074855,655.3074855,,,,,,,,,,
13.38_407.0169m/z,,407.01695,1,13.38383333,0.08235,0,100 - 21.7,2279.322435,---,2279.322435,2279.322435,,,,,,,,,,
13.40_520.9567m/z,,520.9567017,1,13.4003,0.1647,0,100,4531.138763,---,4531.138763,4531.138763,,,,,,,,,,
13.45_286.9992m/z,,286.9991992,1,13.4497,0.082683333,0,100,2089.019628,---,2089.019628,2089.019628,,,,,,,,,,
13.48_271.0126m/z,,271.0126275,1,13.48265,0.197983333,0,100,1491.892107,---,1491.892107,1491.892107,,,,,,,,,,
13.50_279.1655m/z,,279.1654796,1,13.49945,0.049733333,0,100,388.158798,---,388.158798,388.158798,,,,,,,,,,
13.52_524.9460m/z,,524.9459879,1,13.51591667,0.09915,0,100 - 26.1,4057.97724,---,4057.97724,4057.97724,,,,,,,,,,
13.52_520.9494m/z,,520.9494488,1,13.51591667,0.0662,0,100,2143.156982,---,2143.156982,2143.156982,,,,,,,,,,
13.57_586.9827m/z,,586.9827391,1,13.56533333,0.065883333,0,100 - 16.7,3297.082077,---,3297.082077,3297.082077,,,,,,,,,,
13.61_514.9618m/z,,514.9618208,1,13.61475,0.7257,0,100,18884.25108,---,18884.25108,18884.25108,,,,,,,,,,
13.65_278.9800m/z,,278.9799929,1,13.64768333,0.098816667,0,100 - 51.6,2343.621362,---,2343.621362,2343.621362,,,,,,,,,,
13.66_407.0127m/z,,407.012716,1,13.66415,0.21445,0,100 - 30.3,7614.523936,---,7614.523936,7614.523936,,,,,,,,,,
13.66_325.1869m/z,,325.1868929,1,13.66415,0.330066667,0,100,3829.019812,---,3829.019812,3829.019812,,,,,,,,,,
13.68_420.9883m/z,,420.9882853,1,13.68063333,0.065883333,0,100 - 6.46,3170.427494,---,3170.427494,3170.427494,,,,,,,,,,
13.70_218.8745m/z,,218.8745438,1,13.6971,0.132083333,0,100,707.5406132,---,707.5406132,707.5406132,,,,,,,,,,
13.71_272.7962m/z,,272.7962007,1,13.71356667,0.049733333,0,100,333.5178318,---,333.5178318,333.5178318,,,,,,,,,,
13.73_333.0019m/z,,333.0019491,1,13.73003333,0.066216667,0,100 - 42.6,1751.558668,---,1751.558668,1751.558668,,,,,,,,,,
13.75_780.9499m/z,,780.9498583,1,13.74683333,0.066216667,0,100 - 16.7,4175.319832,---,4175.319832,4175.319832,,,,,,,,,,
13.76_140.9148m/z,,140.9148263,1,13.76331667,0.098816667,0,100,556.2614613,---,556.2614613,556.2614613,,,,,,,,,,
13.78_174.9314m/z,,174.9313678,1,13.77978333,0.412433333,0,100,2484.857969,---,2484.857969,2484.857969,,,,,,,,,,
13.81_407.0086m/z,,407.0086438,1,13.81271667,0.065866667,0,100 - 24.3,3793.288284,---,3793.288284,3793.288284,,,,,,,,,,
13.83_435.9945m/z,,435.9945259,1,13.82918333,0.098833333,0,59.8 - 100,3748.143261,---,3748.143261,3748.143261,,,,,,,,,,
13.85_325.0173m/z,,325.0173446,1,13.84566667,0.049416667,0,100 - 35.5,611.576041,---,611.576041,611.576041,,,,,,,,,,
13.86_538.9614m/z,,538.9613629,1,13.86213333,0.065883333,0,100 - 26,3203.639229,---,3203.639229,3203.639229,,,,,,,,,,
13.88_626.9830m/z,,626.982964,1,13.8786,0.115283333,0,100 - 21,5945.20639,---,5945.20639,5945.20639,,,,,,,,,,
13.90_282.9750m/z,,282.9750006,1,13.89506667,0.049416667,0,100,835.2707863,---,835.2707863,835.2707863,,,,,,,,,,
13.90_220.8724m/z,,220.8724261,1,13.89506667,0.049416667,0,100,312.93171,---,312.93171,312.93171,,,,,,,,,,
13.94_506.9861m/z,,506.9860644,1,13.94448333,0.03295,0,100 - 36.5,2271.146556,---,2271.146556,2271.146556,,,,,,,,,,
13.99_508.0270m/z,,508.0269757,1,13.99423333,0.0494,0,100,1099.81543,---,1099.81543,1099.81543,,,,,,,,,,
14.01_466.9775m/z,,466.9774667,1,14.0107,0.4783,0,100 - 30.7,20512.79284,---,20512.79284,20512.79284,,,,,,,,,,
14.04_323.9039m/z,,323.9039017,1,14.04363333,0.08235,0,100,1571.657805,---,1571.657805,1571.657805,,,,,,,,,,
14.08_314.9853m/z,,314.9853452,1,14.07658333,0.032933333,0,100 - 29.7,2090.042505,---,2090.042505,2090.042505,,,,,,,,,,
14.11_276.8343m/z,,276.8342561,1,14.10951667,0.08235,0,100,827.8422484,---,827.8422484,827.8422484,,,,,,,,,,
14.13_364.9789m/z,,364.9788589,1,14.12598333,0.049416667,0,100,869.9872093,---,869.9872093,869.9872093,,,,,,,,,,
14.16_262.9710m/z,,262.9709546,1,14.15893333,0.032933333,0,100 - 41.2,868.5383632,---,868.5383632,868.5383632,,,,,,,,,,
14.18_435.9952m/z,,435.9951753,1,14.1754,0.181166667,0,51.3 - 100 - 37.9,7864.15953,---,7864.15953,7864.15953,,,,,,,,,,
14.21_292.9433m/z,,292.9433343,1,14.20835,0.033266667,0,100 - 46,1593.627984,---,1593.627984,1593.627984,,,,,,,,,,
14.21_241.0044m/z,,241.0043642,1,14.20835,0.1321,0,100,2228.139389,---,2228.139389,2228.139389,,,,,,,,,,
14.22_264.9724m/z,,264.9724161,1,14.22481667,0.197983333,0,100,3029.376547,---,3029.376547,3029.376547,,,,,,,,,,
14.24_276.8343m/z,,276.8343338,1,14.24161667,0.1321,0,100,1099.672696,---,1099.672696,1099.672696,,,,,,,,,,
14.32_537.0012m/z,,537.0011588,1,14.32396667,0.148233333,0,100 - 18.1,6003.522467,---,6003.522467,6003.522467,,,,,,,,,,
14.36_378.9438m/z,,378.9438183,1,14.35691667,0.098816667,0,100 - 19.9,3930.376175,---,3930.376175,3930.376175,,,,,,,,,,
14.39_272.9902m/z,,272.9902341,1,14.38985,0.065883333,0,100 - 33.7,1414.149278,---,1414.149278,1414.149278,,,,,,,,,,
14.41_241.2178m/z,,241.217754,1,14.40631667,0.181516667,0,100,1682.477592,---,1682.477592,1682.477592,,,,,,,,,,
14.42_315.0075m/z,,315.0074742,1,14.4228,0.09915,0,100 - 29.8,5434.144514,---,5434.144514,5434.144514,,,,,,,,,,
14.42_774.9472m/z,,774.9471996,1,14.4228,0.1321,0,100 - 27.5,6211.633026,---,6211.633026,6211.633026,,,,,,,,,,
14.46_199.1709m/z,,199.1709153,1,14.45573333,0.049416667,0,100,484.2458038,---,484.2458038,484.2458038,,,,,,,,,,
14.51_292.9939m/z,,292.9939442,1,14.50548333,0.098816667,0,100 - 80.7,2542.433852,---,2542.433852,2542.433852,,,,,,,,,,
14.51_279.1638m/z,,279.1638162,1,14.50548333,0.04975,0,100,477.6098257,---,477.6098257,477.6098257,,,,,,,,,,
14.54_140.9154m/z,,140.9154192,1,14.53841667,0.08235,0,100,472.818634,---,472.818634,472.818634,,,,,,,,,,
14.57_314.9941m/z,,314.9940531,1,14.57136667,0.082366667,0,100 - 26.4,5060.445937,---,5060.445937,5060.445937,,,,,,,,,,
14.59_692.9811m/z,,692.9810595,1,14.58783333,0.263866667,0,100 - 38.3,14582.12859,---,14582.12859,14582.12859,,,,,,,,,,
14.62_264.9684m/z,,264.9684388,1,14.62076667,0.098833333,0,100 - 17.8,1974.444681,---,1974.444681,1974.444681,,,,,,,,,,
14.64_318.9374m/z,,318.9374247,1,14.63725,0.08235,0,100,2131.548249,---,2131.548249,2131.548249,,,,,,,,,,
14.65_333.0014m/z,,333.0014401,1,14.65371667,0.692766667,0,100 - 38.8,23418.43751,---,23418.43751,23418.43751,,,,,,,,,,
14.69_589.0288m/z,,589.0288356,1,14.68665,0.280333333,0,100 - 34.1,18516.09766,---,18516.09766,18516.09766,,,,,,,,,,
14.72_618.9883m/z,,618.9882626,1,14.7196,0.016483333,0,100 - 36.3,1418.77359,---,1418.77359,1418.77359,,,,,,,,,,
14.74_830.9456m/z,,830.9456144,1,14.7364,0.247383333,0,100 - 23.4,13068.70068,---,13068.70068,13068.70068,,,,,,,,,,
14.77_551.0058m/z,,551.005759,1,14.76933333,0.26385,0,100 - 25.2,13935.00986,---,13935.00986,13935.00986,,,,,,,,,,
14.79_263.0071m/z,,263.0070837,1,14.78581667,0.049416667,0,100 - 29,2207.507822,---,2207.507822,2207.507822,,,,,,,,,,
14.80_292.9935m/z,,292.9935248,1,14.80228333,0.08235,0,93.9 - 100,2339.575042,---,2339.575042,2339.575042,,,,,,,,,,
14.80_496.9623m/z,,496.9622721,1,14.80228333,0.0494,0,100 - 13.3,2108.240234,---,2108.240234,2108.240234,,,,,,,,,,
14.82_317.9926m/z,,317.9925885,1,14.81875,0.049416667,0,100,1292.964157,---,1292.964157,1292.964157,,,,,,,,,,
14.85_546.9513m/z,,546.9512853,1,14.8517,0.1153,0,100 - 29.1,5064.808201,---,5064.808201,5064.808201,,,,,,,,,,
14.85_318.9370m/z,,318.9369686,1,14.8517,0.1153,0,100,2991.579266,---,2991.579266,2991.579266,,,,,,,,,,
14.87_333.0036m/z,,333.0036269,1,14.86816667,0.08235,0,100 - 56,2610.184469,---,2610.184469,2610.184469,,,,,,,,,,
14.87_298.9260m/z,,298.925972,1,14.86816667,0.2968,0,100,2786.405472,---,2786.405472,2786.405472,,,,,,,,,,
14.88_322.9752m/z,,322.9752086,1,14.88463333,0.032933333,0,100 - 73.1,1986.762099,---,1986.762099,1986.762099,,,,,,,,,,
14.90_325.0192m/z,,325.0191862,1,14.9011,0.065883333,0,100,910.2594147,---,910.2594147,910.2594147,,,,,,,,,,
14.93_281.2505m/z,,281.2505408,1,14.93405,0.21445,0,100,2088.299725,---,2088.299725,2088.299725,,,,,,,,,,
15.00_292.9835m/z,,292.9835363,1,15.00025,0.03295,0,90.2 - 100,1128.861459,---,1128.861459,1128.861459,,,,,,,,,,
15.02_263.0071m/z,,263.0070859,1,15.01673333,0.032933333,0,100 - 38.6,1459.541679,---,1459.541679,1459.541679,,,,,,,,,,
15.05_294.9521m/z,,294.9520768,1,15.04966667,0.989566667,0,100 - 31.6,42593.29278,---,42593.29278,42593.29278,,,,,,,,,,
15.08_292.8507m/z,,292.85066,1,15.08261667,0.082366667,0,100,1571.649154,---,1571.649154,1571.649154,,,,,,,,,,
15.12_177.9064m/z,,177.9063709,1,15.11555,0.065883333,0,100,340.2310638,---,340.2310638,340.2310638,,,,,,,,,,
15.16_466.9619m/z,,466.9619141,1,15.16496667,0.049416667,0,63.5 - 100,1384.87413,---,1384.87413,1384.87413,,,,,,,,,,
15.20_315.0069m/z,,315.0068684,1,15.1979,0.280333333,0,100 - 35.2,15003.77884,---,15003.77884,15003.77884,,,,,,,,,,
15.21_392.9834m/z,,392.9834343,1,15.21436667,0.09915,0,100 - 16.5,4032.822756,---,4032.822756,4032.822756,,,,,,,,,,
15.23_678.9611m/z,,678.9611134,1,15.23085,0.082683333,0,100 - 36.3,5339.039429,---,5339.039429,5339.039429,,,,,,,,,,
15.23_325.1866m/z,,325.1865625,1,15.23085,0.165033333,0,100,1354.525043,---,1354.525043,1354.525043,,,,,,,,,,
15.26_272.9925m/z,,272.99252,1,15.26411667,0.098816667,0,100 - 42.9,2036.497249,---,2036.497249,2036.497249,,,,,,,,,,
15.30_315.0165m/z,,315.0165036,1,15.29705,0.1153,0,100 - 26,6012.89441,---,6012.89441,6012.89441,,,,,,,,,,
15.31_456.9644m/z,,456.9644011,1,15.31353333,0.1815,0,100 - 25.7,7437.337959,---,7437.337959,7437.337959,,,,,,,,,,
15.36_611.0188m/z,,611.0188211,1,15.36293333,0.560666667,0,100 - 34,34939.28896,---,34939.28896,34939.28896,,,,,,,,,,
15.40_736.9563m/z,,736.9563409,1,15.39588333,0.280316667,0,100 - 29.4,12863.30445,---,12863.30445,12863.30445,,,,,,,,,,
15.41_564.9867m/z,,564.9867379,1,15.41235,0.973083333,0,100 - 31.6,53432.99088,---,53432.99088,53432.99088,,,,,,,,,,
15.43_263.0076m/z,,263.0076149,1,15.42881667,0.03295,0,100 - 34.5,1664.385478,---,1664.385478,1664.385478,,,,,,,,,,
15.48_452.9972m/z,,452.9971568,1,15.47823333,0.6104,0,100 - 29.2,22513.57859,---,22513.57859,22513.57859,,,,,,,,,,
15.48_536.9620m/z,,536.9619647,1,15.47823333,0.197983333,0,100 - 19.7,8569.653244,---,8569.653244,8569.653244,,,,,,,,,,
15.51_174.9309m/z,,174.9309398,1,15.5115,0.08235,0,100,411.2205582,---,411.2205582,411.2205582,,,,,,,,,,
15.53_243.0131m/z,,243.0131481,1,15.52798333,0.082683333,0,100 - 23.2,1414.367686,---,1414.367686,1414.367686,,,,,,,,,,
15.53_676.9622m/z,,676.9622441,1,15.52798333,0.230916667,0,100,8556.697174,---,8556.697174,8556.697174,,,,,,,,,,
15.56_152.9375m/z,,152.9374818,1,15.56091667,0.1153,0,100 - 15.9,2865.818392,---,2865.818392,2865.818392,,,,,,,,,,
15.56_250.8358m/z,,250.8358358,1,15.56091667,0.065883333,0,100,508.7899554,---,508.7899554,508.7899554,,,,,,,,,,
15.61_244.9699m/z,,244.9699403,1,15.61033333,4.634516667,0,100 - 22,201087.8153,---,201087.8153,201087.8153,,,,,,,,,,
15.66_536.9911m/z,,536.9911007,1,15.65973333,0.08235,0,100 - 17.4,4118.561365,---,4118.561365,4118.561365,,,,,,,,,,
15.66_174.9313m/z,,174.9313248,1,15.65973333,0.049416667,0,100,463.4059334,---,463.4059334,463.4059334,,,,,,,,,,
15.68_1194.8990m/z,,1194.899036,1,15.67621667,0.049416667,0,100,1413.008239,---,1413.008239,1413.008239,,,,,,,,,,
15.69_393.0028m/z,,393.0028484,1,15.69268333,0.032933333,0,100 - 52.9,1085.372295,---,1085.372295,1085.372295,,,,,,,,,,
15.71_304.9740m/z,,304.9739551,1,15.70915,0.082683333,0,100,2175.513865,---,2175.513865,2175.513865,,,,,,,,,,
15.76_298.9267m/z,,298.9267114,1,15.7589,0.0494,0,100,696.1654701,---,696.1654701,696.1654701,,,,,,,,,,
15.78_315.0279m/z,,315.0278841,1,15.77536667,0.049416667,0,100 - 62.7,2209.391999,---,2209.391999,2209.391999,,,,,,,,,,
15.79_292.9944m/z,,292.9944034,1,15.79183333,0.049416667,0,100 - 62.6,1354.852304,---,1354.852304,1354.852304,,,,,,,,,,
15.79_208.8460m/z,,208.8460459,1,15.79183333,0.065883333,0,100,402.3985271,---,402.3985271,402.3985271,,,,,,,,,,
15.81_129.0059m/z,,129.0058603,1,15.8083,0.049416667,0,100,309.6221828,---,309.6221828,309.6221828,,,,,,,,,,
15.89_322.9853m/z,,322.9852585,1,15.89066667,0.098816667,0,100 - 29.9,5174.473439,---,5174.473439,5174.473439,,,,,,,,,,
15.89_338.9983m/z,,338.9982558,1,15.89066667,0.065883333,0,100,1457.097938,---,1457.097938,1457.097938,,,,,,,,,,
15.91_318.9379m/z,,318.937876,1,15.90713333,0.098816667,0,100,2596.922687,---,2596.922687,2596.922687,,,,,,,,,,
15.94_174.9312m/z,,174.931169,1,15.94006667,0.083016667,0,100,513.5965748,---,513.5965748,513.5965748,,,,,,,,,,
15.96_632.9863m/z,,632.9862511,1,15.95653333,0.577466667,0,100 - 30.5,31607.15368,---,31607.15368,31607.15368,,,,,,,,,,
15.99_618.9802m/z,,618.9801731,1,15.99015,0.083016667,0,100 - 14.2,4490.744743,---,4490.744743,4490.744743,,,,,,,,,,
16.02_199.1715m/z,,199.1714565,1,16.02308333,0.297133333,0,100,1552.002697,---,1552.002697,1552.002697,,,,,,,,,,
16.04_292.9484m/z,,292.9483533,1,16.03955,0.065883333,0,100 - 37.7,3234.633295,---,3234.633295,3234.633295,,,,,,,,,,
16.07_208.8460m/z,,208.8460218,1,16.0725,0.148233333,0,100,926.3803026,---,926.3803026,926.3803026,,,,,,,,,,
16.09_250.8360m/z,,250.8360147,1,16.08896667,0.08235,0,100,493.1874944,---,493.1874944,493.1874944,,,,,,,,,,
16.12_332.9985m/z,,332.9984534,1,16.1219,0.18185,0,100 - 51.6,6128.8404,---,6128.8404,6128.8404,,,,,,,,,,
16.15_243.0133m/z,,243.0132564,1,16.15485,0.1153,0,100,1654.926074,---,1654.926074,1654.926074,,,,,,,,,,
16.19_332.9948m/z,,332.994846,1,16.18778333,0.066216667,0,100 - 49.6,2223.490949,---,2223.490949,2223.490949,,,,,,,,,,
16.22_706.9445m/z,,706.9445297,1,16.22073333,0.643,0,100 - 32.9,34010.59636,---,34010.59636,34010.59636,,,,,,,,,,
16.22_140.9152m/z,,140.915181,1,16.22073333,0.263866667,0,100,1277.012369,---,1277.012369,1277.012369,,,,,,,,,,
16.24_315.0055m/z,,315.005549,1,16.23753333,0.0168,0,100 - 56.9,1047.782914,---,1047.782914,1047.782914,,,,,,,,,,
16.27_264.9699m/z,,264.9698806,1,16.27048333,0.230916667,0,100 - 27.1,4873.754911,---,4873.754911,4873.754911,,,,,,,,,,
16.29_292.9880m/z,,292.9880376,1,16.28695,0.115616667,0,100 - 84.9,3370.808115,---,3370.808115,3370.808115,,,,,,,,,,
16.30_304.9749m/z,,304.974879,1,16.30341667,0.0494,0,100,1194.19694,---,1194.19694,1194.19694,,,,,,,,,,
16.32_139.0053m/z,,139.0053486,1,16.31988333,0.1153,0,100,650.9499931,---,650.9499931,650.9499931,,,,,,,,,,
16.37_304.9723m/z,,304.9723193,1,16.3693,0.0494,0,100,1449.907452,---,1449.907452,1449.907452,,,,,,,,,,
16.40_272.9942m/z,,272.9942104,1,16.40223333,0.1153,0,100 - 47.3,2528.826116,---,2528.826116,2528.826116,,,,,,,,,,
16.40_281.2498m/z,,281.2497959,1,16.40223333,0.049416667,0,100,527.6717644,---,527.6717644,527.6717644,,,,,,,,,,
16.44_262.9692m/z,,262.969195,1,16.43518333,0.032933333,0,100 - 48.4,1257.359971,---,1257.359971,1257.359971,,,,,,,,,,
16.45_292.9935m/z,,292.9934736,1,16.45165,0.0494,0,100 - 63.4,1224.054884,---,1224.054884,1224.054884,,,,,,,,,,
16.45_199.1718m/z,,199.1718185,1,16.45165,0.082683333,0,100,507.8372879,---,507.8372879,507.8372879,,,,,,,,,,
16.48_558.9462m/z,,558.9462382,1,16.4846,0.280333333,0,100 - 25.5,11884.82492,---,11884.82492,11884.82492,,,,,,,,,,
16.48_183.0059m/z,,183.0059415,1,16.4846,0.09915,0,100,888.2946713,---,888.2946713,888.2946713,,,,,,,,,,
16.50_516.9672m/z,,516.9672428,1,16.5014,0.115633333,0,100 - 29.1,5511.987015,---,5511.987015,5511.987015,,,,,,,,,,
16.55_250.8355m/z,,250.835455,1,16.5508,0.14855,0,100,1134.580703,---,1134.580703,1134.580703,,,,,,,,,,
16.57_178.9424m/z,,178.9424353,1,16.56728333,0.08235,0,100,566.6119022,---,566.6119022,566.6119022,,,,,,,,,,
16.62_243.0100m/z,,243.0100482,1,16.61668333,0.065883333,0,100,835.1079672,---,835.1079672,835.1079672,,,,,,,,,,
16.63_278.8311m/z,,278.8311476,1,16.63315,0.2474,0,100,2079.599181,---,2079.599181,2079.599181,,,,,,,,,,
16.67_370.9375m/z,,370.9374689,1,16.6661,0.08235,0,100 - 17.3,2403.896836,---,2403.896836,2403.896836,,,,,,,,,,
16.68_356.9650m/z,,356.9650163,1,16.68256667,0.115616667,0,100 - 12,6322.200274,---,6322.200274,6322.200274,,,,,,,,,,
16.68_332.9980m/z,,332.997971,1,16.68256667,0.148233333,0,100 - 38.4,5023.720844,---,5023.720844,5023.720844,,,,,,,,,,
16.72_318.9355m/z,,318.9354845,1,16.71551667,0.04975,0,100,1551.286297,---,1551.286297,1551.286297,,,,,,,,,,
16.73_315.0133m/z,,315.0133287,1,16.73198333,0.033266667,0,100 - 20.4,2232.353262,---,2232.353262,2232.353262,,,,,,,,,,
16.73_250.8353m/z,,250.8352655,1,16.73198333,0.049416667,0,100,488.2560014,---,488.2560014,488.2560014,,,,,,,,,,
16.77_734.9279m/z,,734.9279218,1,16.76525,0.16505,0,100 - 25,7767.546303,---,7767.546303,7767.546303,,,,,,,,,,
16.78_407.0076m/z,,407.0075971,1,16.78171667,0.131766667,0,100 - 28.3,7401.706416,---,7401.706416,7401.706416,,,,,,,,,,
16.81_420.9463m/z,,420.9462933,1,16.81466667,0.1647,0,100 - 31.7,6767.105973,---,6767.105973,6767.105973,,,,,,,,,,
16.83_334.9703m/z,,334.9703348,1,16.83113333,2.408,0,100 - 20.9,164528.4614,---,164528.4614,164528.4614,,,,,,,,,,
16.86_292.9875m/z,,292.9875277,1,16.86408333,0.082366667,0,100 - 35.4,3944.842702,---,3944.842702,3944.842702,,,,,,,,,,
16.88_272.9916m/z,,272.9915879,1,16.88055,0.08235,0,100 - 17.5,1828.409788,---,1828.409788,1828.409788,,,,,,,,,,
16.90_315.0099m/z,,315.0098767,1,16.89701667,0.115616667,0,100 - 37.5,6551.561519,---,6551.561519,6551.561519,,,,,,,,,,
16.91_571.5013m/z,,571.5013435,1,16.91348333,0.2968,0,100,2082.190571,---,2082.190571,2082.190571,,,,,,,,,,
16.95_292.9914m/z,,292.9913968,1,16.94643333,0.098816667,0,100 - 74,2945.693684,---,2945.693684,2945.693684,,,,,,,,,,
16.95_325.1872m/z,,325.1871975,1,16.94643333,0.21445,0,100,1414.846598,---,1414.846598,1414.846598,,,,,,,,,,
16.98_376.9342m/z,,376.9341724,1,16.97936667,0.115633333,0,100 - 20.3,5379.554967,---,5379.554967,5379.554967,,,,,,,,,,
