Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Isotope Distribution,Maximum Abundance,Minimum CV%,20190805_Blank_Neg_06,20190805_Blank_Neg_06,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
12.15_632.5015n,632.5015433,691.5240389,1,12.14681667,0.494766667,0,100 - 45.2,23584.90125,---,23584.90125,23584.90125,,,"M+Cl, M+CH3COOH",,,,,,,
4.97_556.1489n,556.1489225,591.1455591,1,4.971833333,0.890733333,0,100 - 32,48768.60132,---,48768.60132,48768.60132,,,"M+Na-2H, M+Cl",,,,,,,
11.98_570.1705n,570.1704935,591.1451614,1,11.98178333,0.528033333,0,100,9676.647381,---,9676.647381,9676.647381,,,"M+Na-2H, M+Cl",,,,,,,
14.31_334.0016n,334.0015541,392.9944387,1,14.3075,0.1153,0,100 - 24.3,9454.926597,---,9454.926597,9454.926597,,,"M-H2O-H, M+CH3COOH",,,,,,,
5.24_606.1733n,606.173306,605.1647817,1,5.236016667,0.90725,0,100 - 33.6 - 36.8,33062.61363,---,33062.61363,33062.61363,,,"M-H2O-H, M-H",,,,,,,
15.54_386.0286n,386.028582,444.9846265,1,15.54445,1.484666667,0,100 - 23,95265.27159,---,95265.27159,95265.27159,,,"M+Cl, M+CH3COOH",,,,,,,
15.18_146.9861n,146.9860821,292.9922405,1,15.18143333,0.346216667,0,100 - 72.1,10618.13149,---,10618.13149,10618.13149,,,"M+Cl, 2M-H",,,,,,,
15.46_158.0438n,158.0438437,157.0365673,1,15.46176667,1.61675,0,100 - 19.6,86824.65193,---,86824.65193,86824.65193,,,"M-H, 2M-H",,,,,,,
15.78_274.0013n,274.0012839,332.9974048,1,15.77536667,0.280333333,0,100 - 35.9,10910.64104,---,10910.64104,10910.64104,,,"M-H, M+CH3COOH",,,,,,,
15.74_486.0258n,486.025783,507.0359657,1,15.74241667,2.424816667,0,100 - 35.1,236678.3464,---,236678.3464,236678.3464,,,"M-H2O-H, M+Na-2H",,,,,,,
14.67_408.0192n,408.0192447,407.0119683,1,14.67018333,1.105183333,0,100 - 30.5,74513.46783,---,74513.46783,74513.46783,,,"M-H, M+CH3COOH",,,,,,,
16.34_333.9972n,333.9972131,332.9899367,1,16.33635,0.197983333,0,100 - 40.5,8586.076261,---,8586.076261,8586.076261,,,"M-H, M+CH3COOH",,,,,,,
16.19_595.9618n,595.9617885,654.9687662,1,16.18778333,0.37915,0,100 - 27.6,26977.12226,---,26977.12226,26977.12226,,,"M+Na-2H, M+CH3COOH",,,,,,,
16.55_688.0090n,688.0089595,687.0016831,1,16.5508,2.012066667,0,100 - 34.3,188433.6762,---,188433.6762,188433.6762,,,"M-H, M+Na-2H",,,,,,,
16.27_563.9680n,563.9680392,584.9776572,1,16.27048333,0.51125,0,100 - 26.4,40656.45016,---,40656.45016,40656.45016,,,"M-H, M+Na-2H",,,,,,,
16.95_283.9828n,283.9827987,304.9728019,1,16.94643333,0.09915,0,100,3205.654349,---,3205.654349,3205.654349,,,"M-H, M+Na-2H",,,,,,,
17.29_671.9836n,671.9836311,670.9763547,1,17.29296667,1.28635,0,100 - 33.4,104041.8342,---,104041.8342,104041.8342,,,"M-H, M+Na-2H",,,,,,,
17.31_477.9639n,477.963916,498.9757395,1,17.30943333,1.385516667,0,100 - 27.2,83181.04632,---,83181.04632,83181.04632,,,"M-H2O-H, M+Na-2H",,,,,,,
18.41_157.9913n,157.9912579,217.0045619,1,18.4143,2.60565,0,100 - 7.58,1192296.984,---,1192296.984,1192296.984,,,"M+CH3COOH, 2M-H",,,,,,,
17.87_546.0013n,546.0013449,605.013694,1,17.8701,2.803966667,0,100 - 32.1 - 29.3 - 1.69,323851.1105,---,323851.1105,323851.1105,,,"M+Na-2H, M+CH3COOH",,,,,,,
18.58_559.7849n,559.7848521,558.7775756,1,18.57933333,0.1647,0,100 - 27.2,5659.387719,---,5659.387719,5659.387719,,,"M-H, M+Na-2H",,,,,,,
18.60_583.8085n,583.8085376,582.7485903,1,18.5958,0.1153,0,100 - 35.2,5581.833766,---,5581.833766,5581.833766,,,"M-H2O-H, M-H",,,,,,,
18.63_481.8024n,481.802436,502.7771038,1,18.62873333,0.1647,0,100 - 23.9 - 31.7 - 12.2,7226.567174,---,7226.567174,7226.567174,,,"M+Na-2H, M+Cl",,,,,,,
18.63_277.8837n,277.883659,298.8794416,1,18.62873333,0.494766667,0,100 - 22,57570.7197,---,57570.7197,57570.7197,,,"M-H, M+Na-2H",,,,,,,
18.61_567.7987n,567.7986734,626.7576087,1,18.61226667,0.08235,0,100 - 47.6 - 33,4916.589883,---,4916.589883,4916.589883,,,"M-H, M+CH3COOH",,,,,,,
18.61_389.8860n,389.8859532,370.8681121,1,18.61226667,0.115283333,0,100 - 10.6,2762.678417,---,2762.678417,2762.678417,,,"M-H2O-H, M-H",,,,,,,
18.63_419.8199n,419.8199078,440.8137456,1,18.62873333,0.26385,0,100 - 30.6,16997.29359,---,16997.29359,16997.29359,,,"M-H, M+Na-2H",,,,,,,
18.60_188.0664n,188.066422,209.0109334,1,18.5958,0.19765,0,100 - 15.4 - 7.08,5031.651283,---,5031.651283,5031.651283,,,"M-H, M+Na-2H",,,,,,,
18.61_369.8815n,369.881491,404.8450042,1,18.61226667,0.131766667,0,100 - 18.7 - 23.1,3706.232053,---,3706.232053,3706.232053,,,"M-H, M+Cl",,,,,,,
18.60_279.8798n,279.8798421,300.8751703,1,18.5958,0.412083333,0,100 - 20.8 - 22.2 - 2.89 - 1.7,56646.21561,---,56646.21561,56646.21561,,,"M-H, M+Na-2H",,,,,,,
18.60_645.7409n,645.7409067,680.7202074,1,18.5958,0.08235,0,100 - 20.5,2965.964897,---,2965.964897,2965.964897,,,"M+Na-2H, M+Cl",,,,,,,
18.38_277.9923n,277.9923227,299.0072937,1,18.38135,7.438216667,0,100 - 6.5 - 0.138 - 0.0382,841828.1938,---,841828.1938,841828.1938,,,"M-H, M+Na-2H",,,,,,,
18.61_265.9159n,265.9159328,264.9086563,1,18.61226667,0.19765,0,100,2987.431938,---,2987.431938,2987.431938,,,"M-H, M+Na-2H",,,,,,,
18.61_139.9605n,139.9604597,174.9502864,1,18.61226667,0.494766667,0,100 - 2.44,16620.65502,---,16620.65502,16620.65502,,,"M+Na-2H, M+Cl",,,,,,,
18.58_641.7401n,641.7401417,662.7148095,1,18.57933333,0.08235,0,100 - 41.3,3329.818068,---,3329.818068,3329.818068,,,"M+Na-2H, M+CH3COOH",,,,,,,
18.58_621.7609n,621.7608714,602.7430302,1,18.57933333,0.098816667,0,100 - 36.5,5339.094318,---,5339.094318,5339.094318,,,"M-H2O-H, M-H",,,,,,,
18.58_483.8118n,483.8118164,542.7775939,1,18.57933333,0.148233333,0,100 - 34.2 - 31 - 12.4,10900.82857,---,10900.82857,10900.82857,,,"M+Cl, M+CH3COOH",,,,,,,
18.43_290.0247n,290.0246507,325.0004546,1,18.43076667,0.164716667,0,100 - 21.4,11917.27276,---,11917.27276,11917.27276,,,"M+Na-2H, M+Cl",,,,,,,
18.56_481.8201n,481.8201061,462.8012664,1,18.56286667,0.131766667,0,100 - 27.7 - 23.4 - 4.37,19293.90057,---,19293.90057,19293.90057,,,"M-H2O-H, M-H",,,,,,,
18.53_195.9266n,195.926584,216.9106258,1,18.52991667,0.494766667,0,100,17652.06373,---,17652.06373,17652.06373,,,"M-H, M+Na-2H",,,,,,,
18.55_275.9248n,275.9248012,256.9069601,1,18.54638333,0.13175,0,100,5739.267288,---,5739.267288,5739.267288,,,"M-H2O-H, M+CH3COOH",,,,,,,
18.56_419.8568n,419.8567839,400.8389428,1,18.56286667,0.148233333,0,100 - 21.7,14133.75261,---,14133.75261,14133.75261,,,"M-H2O-H, M+CH3COOH",,,,,,,
18.63_281.8765n,281.8764872,316.8826504,1,18.62873333,0.214116667,0,100 - 16.1,10758.47676,---,10758.47676,10758.47676,,,"M-H, M+Cl",,,,,,,
18.41_342.1181n,342.1180916,341.1108152,1,18.4143,0.21445,0,100 - 10.2,10987.95603,---,10987.95603,10987.95603,,,"M-H, M+CH3COOH",,,,,,,
18.38_311.9743n,311.9743403,370.9648066,1,18.38135,0.181166667,0,100 - 21.5,6940.822662,---,6940.822662,6940.822662,,,"M-H2O-H, M+CH3COOH",,,,,,,
18.36_152.0413n,152.0413211,187.0107224,1,18.36488333,11.67776667,0,100 - 13.7,736119.4583,---,736119.4583,736119.4583,,,"M+Cl, 2M-H",,,,,,,
18.36_435.9770n,435.9770073,435.0034821,1,18.36488333,4.238566667,0,100 - 39.4 - 16 - 5.83,238168.775,---,238168.775,238168.775,,,"M-H2O-H, M-H",,,,,,,
18.36_420.0074n,420.007449,419.0001725,1,18.36488333,0.577133333,0,100 - 23,42635.90061,---,42635.90061,42635.90061,,,"M-H, M+Cl",,,,,,,
18.36_220.0141n,220.0141124,254.997658,1,18.36488333,0.197633333,0,100 - 11.7,10205.32501,---,10205.32501,10205.32501,,,"M+Na-2H, M+Cl",,,,,,,
18.35_711.9917n,711.9916504,732.9663182,1,18.34841667,0.610066667,0,100 - 33.2,53474.74343,---,53474.74343,53474.74343,,,"M+Na-2H, M+Cl",,,,,,,
18.36_534.0335n,534.0335303,554.9687076,1,18.36488333,0.2968,0,100 - 25,22090.81709,---,22090.81709,22090.81709,,,"M+Na-2H, M+CH3COOH",,,,,,,
18.35_479.9877n,479.9877157,460.9670784,1,18.34841667,0.37915,0,100 - 24.1,24835.41116,---,24835.41116,24835.41116,,,"M-H2O-H, M-H",,,,,,,
18.38_496.0054n,496.0054208,494.9981444,1,18.38135,0.37915,0,100 - 28.1,25559.36517,---,25559.36517,25559.36517,,,"M-H, M+Na-2H",,,,,,,
